label,facets,points,closed_solid,has_nonmanifold,has_nonuniform_orientation,has_invalid_points,components,volume_mm3,dx_mm,dy_mm,dz_mm
T8-10 - Assem1SmallRoot-11 smallRoot5-1,3236,1620,True,False,False,False,1,8.9688,3.734,3.129,17.844
T8-10 - Assem1SmallRoot-11 smallRoot6-1,3648,1826,True,False,False,False,1,2.7604,2.89,2.039,5.488
T8-10 - Assem1SmallRoot-12 smallRoot-1,4686,2345,True,False,False,False,1,1.6771,4.226,1.63,3.625
T8-10 - Assem1SmallRoot-12 smallRoot1-1,3072,1538,True,False,False,False,1,12.1823,4.484,5.837,22.92
T8-10 - Assem1SmallRoot-12 smallRoot2-1,3160,1582,True,False,False,False,1,10.4844,4.509,5.22,20.083
T8-10 - Assem1SmallRoot-12 smallRoot3-1,2834,1419,True,False,False,False,1,6.1562,3.545,3.513,12.373
T8-10 - Assem1SmallRoot-12 smallRoot4-1,4420,2212,True,False,False,False,1,5.0052,3.828,3.021,10.041
T8-10 - Assem1SmallRoot-12 smallRoot5-1,3236,1620,True,False,False,False,1,9.0573,4.289,4.664,17.491
T8-10 - Assem1SmallRoot-12 smallRoot6-1,3648,1826,True,False,False,False,1,2.6719,3.184,1.993,5.405
T8-10 - Assem1SmallRoot-13 smallRoot-1,4686,2345,True,False,False,False,1,2.0469,4.455,1.856,3.274
T8-10 - Assem1SmallRoot-13 smallRoot1-1,3072,1538,True,False,False,False,1,11.7031,6.418,6.804,22.252
T8-10 - Assem1SmallRoot-13 smallRoot2-1,3160,1582,True,False,False,False,1,10.5417,6.158,6.08,19.449
T8-10 - Assem1SmallRoot-13 smallRoot3-1,2834,1419,True,False,False,False,1,6.4635,4.565,4.05,11.952
T8-10 - Assem1SmallRoot-13 smallRoot4-1,4420,2212,True,False,False,False,1,5.2969,4.642,3.479,9.625
T8-10 - Assem1SmallRoot-13 smallRoot5-1,3236,1620,True,False,False,False,1,9.3438,5.743,5.418,16.941
T8-10 - Assem1SmallRoot-13 smallRoot6-1,3648,1826,True,False,False,False,1,2.5,3.601,2.255,5.121
T8-10 - Assem1SmallRoot-2 smallRoot-1,4686,2345,True,False,False,False,1,1.7839,1.993,4.533,3.079
T8-10 - Assem1SmallRoot-2 smallRoot1-1,3072,1538,True,False,False,False,1,11.9818,2.067,8.311,22.39
T8-10 - Assem1SmallRoot-2 smallRoot2-1,3160,1582,True,False,False,False,1,10.349,2.083,7.787,19.53
T8-10 - Assem1SmallRoot-2 smallRoot3-1,2834,1419,True,False,False,False,1,6.2083,1.735,5.512,11.949
T8-10 - Assem1SmallRoot-2 smallRoot4-1,4420,2212,True,False,False,False,1,5.0312,1.829,5.351,9.559
T8-10 - Assem1SmallRoot-2 smallRoot5-1,3236,1620,True,False,False,False,1,8.7396,1.971,7.133,16.997
T8-10 - Assem1SmallRoot-2 smallRoot6-1,3648,1826,True,False,False,False,1,2.526,1.605,3.916,5.004
T8-10 - Assem1SmallRoot-3 smallRoot-1,4686,2345,True,False,False,False,1,2.1823,4.223,1.372,3.686
T8-10 - Assem1SmallRoot-3 smallRoot1-1,3072,1538,True,False,False,False,1,12.1094,4.458,5.399,23.018
T8-10 - Assem1SmallRoot-3 smallRoot2-1,3160,1582,True,False,False,False,1,10.4427,4.49,4.8,20.177
T8-10 - Assem1SmallRoot-3 smallRoot3-1,2834,1419,True,False,False,False,1,6.349,3.532,3.223,12.437
T8-10 - Assem1SmallRoot-3 smallRoot4-1,4420,2212,True,False,False,False,1,4.9219,3.818,2.727,10.106
T8-10 - Assem1SmallRoot-3 smallRoot5-1,3236,1620,True,False,False,False,1,9.0573,4.272,4.289,17.573
T8-10 - Assem1SmallRoot-3 smallRoot6-1,3648,1826,True,False,False,False,1,3.0625,3.179,1.781,5.451
T8-10 - Assem1SmallRoot-4 smallRoot-1,4686,2345,True,False,False,False,1,1.9844,3.259,3.579,3.468
T8-10 - Assem1SmallRoot-4 smallRoot1-1,3072,1538,True,False,False,False,1,11.8333,3.314,6.075,23.036
T8-10 - Assem1SmallRoot-4 smallRoot2-1,3160,1582,True,False,False,False,1,10.5365,3.118,5.735,20.153
T8-10 - Assem1SmallRoot-4 smallRoot3-1,2834,1419,True,False,False,False,1,6.3385,2.629,4.138,12.379
T8-10 - Assem1SmallRoot-4 smallRoot4-1,4420,2212,True,False,False,False,1,5.1875,2.78,4.052,9.996
T8-10 - Assem1SmallRoot-4 smallRoot5-1,3236,1620,True,False,False,False,1,8.7448,3.005,5.244,17.542
T8-10 - Assem1SmallRoot-4 smallRoot6-1,3648,1826,True,False,False,False,1,2.4635,2.406,3.048,5.322
T8-10 - Assem1SmallRoot-5 smallRoot-1,4686,2345,True,False,False,False,1,0.5312,4.369,0.904,3.521
T8-10 - Assem1SmallRoot-5 smallRoot1-1,3072,1538,True,False,False,False,1,11.5938,5.595,1.871,23.193
T8-10 - Assem1SmallRoot-5 smallRoot2-1,3160,1582,True,False,False,False,1,11.1354,5.444,1.725,20.297
T8-10 - Assem1SmallRoot-5 smallRoot3-1,2834,1419,True,False,False,False,1,6.2396,4.135,1.352,12.468
T8-10 - Assem1SmallRoot-5 smallRoot4-1,4420,2212,True,False,False,False,1,5.5312,4.302,1.227,10.078
T8-10 - Assem1SmallRoot-5 smallRoot5-1,3236,1620,True,False,False,False,1,8.1875,5.118,1.603,17.665
T8-10 - Assem1SmallRoot-5 smallRoot6-1,3648,1826,True,False,False,False,1,2.4062,3.431,1.006,5.37
T8-10 - Assem1SmallRoot-6 smallRoot-1,4686,2345,True,False,False,False,1,1.9062,3.448,2.966,3.789
T8-10 - Assem1SmallRoot-6 smallRoot1-1,3072,1538,True,False,False,False,1,12.875,3.469,3.395,23.534
T8-10 - Assem1SmallRoot-6 smallRoot2-1,3160,1582,True,False,False,False,1,10.6042,3.138,3.359,20.635
T8-10 - Assem1SmallRoot-6 smallRoot3-1,2834,1419,True,False,False,False,1,6.1979,2.734,2.649,12.708
T8-10 - Assem1SmallRoot-6 smallRoot4-1,4420,2212,True,False,False,False,1,5.4792,2.844,2.783,10.334
T8-10 - Assem1SmallRoot-6 smallRoot5-1,3236,1620,True,False,False,False,1,9.5521,3.052,3.144,17.961
T8-10 - Assem1SmallRoot-6 smallRoot6-1,3648,1826,True,False,False,False,1,2.6771,2.484,2.32,5.565
T8-10 - Assem1SmallRoot-7 smallRoot-1,4686,2345,True,False,False,False,1,1.7552,3.19,3.489,3.604
T8-10 - Assem1SmallRoot-7 smallRoot1-1,3072,1538,True,False,False,False,1,12.4167,3.185,5.418,23.237
T8-10 - Assem1SmallRoot-7 smallRoot2-1,3160,1582,True,False,False,False,1,10.0156,2.842,5.161,20.349
T8-10 - Assem1SmallRoot-7 smallRoot3-1,2834,1419,True,False,False,False,1,6.2344,2.526,3.789,12.514
T8-10 - Assem1SmallRoot-7 smallRoot4-1,4420,2212,True,False,False,False,1,5.0469,2.589,3.771,10.137
T8-10 - Assem1SmallRoot-7 smallRoot5-1,3236,1620,True,False,False,False,1,9.5,2.752,4.742,17.713
T8-10 - Assem1SmallRoot-7 smallRoot6-1,3648,1826,True,False,False,False,1,2.8542,2.283,2.902,5.425
T8-10 - Assem1SmallRoot-8 smallRoot-1,4686,2345,True,False,False,False,1,1.8073,3.11,4.0,3.161
T8-10 - Assem1SmallRoot-8 smallRoot1-1,3072,1538,True,False,False,False,1,11.8333,3.189,8.349,22.363
T8-10 - Assem1SmallRoot-8 smallRoot2-1,3160,1582,True,False,False,False,1,10.8281,3.099,7.739,19.522
T8-10 - Assem1SmallRoot-8 smallRoot3-1,2834,1419,True,False,False,False,1,6.7396,2.547,5.372,11.967
T8-10 - Assem1SmallRoot-8 smallRoot4-1,4420,2212,True,False,False,False,1,5.7656,2.716,5.077,9.598
T8-10 - Assem1SmallRoot-8 smallRoot5-1,3236,1620,True,False,False,False,1,9.0521,2.951,7.004,16.997
T8-10 - Assem1SmallRoot-8 smallRoot6-1,3648,1826,True,False,False,False,1,2.9479,2.335,3.613,5.059
T8-10 - T_disk_10_11x-1,6512,3258,True,False,False,False,1,6675.4453,42.489,28.262,10.605
T8-10 - T_disk_11_12x-1,6464,3234,True,False,False,False,1,7857.0288,42.489,28.511,14.686
T8-10 - T_disk_12_Lx-1,6534,3270,False,False,False,False,1,,42.489,28.218,14.325
T8-10 - T_disk_9_10x-1,6534,3271,False,False,False,False,1,,42.489,28.029,7.727
T8-10 - Thoracic_aorta-1,2366,1185,True,False,False,False,1,52487.7461,25.0,44.552,116.32
T8-10 - V1-2,30292,15144,False,False,False,False,1,,76.0,66.348,46.91
T8-10 - V1-3,30292,15144,False,False,False,False,1,,76.0,66.911,42.364
T8-10 - V1-4,30292,15143,False,False,False,False,1,,76.0,67.1,40.452
T8-10 - additional_menginges-2,12420,6212,True,False,False,False,1,1762.2709,25.079,10.185,18.041
T8-10 - additional_menginges-3,12420,6212,True,False,False,False,1,1761.6641,25.033,10.466,18.226
T8-10 - additional_menginges-4,12420,6212,True,False,False,False,1,1759.8438,25.235,10.38,17.571
T8-10 - additional_menginges-5,12420,6212,True,False,False,False,1,1761.224,25.056,10.257,18.128
T8-10 - additional_menginges-6,12420,6212,True,False,False,False,1,1761.25,25.414,10.429,16.883
T8-10 - additional_menginges-7,12420,6212,True,False,False,False,1,1761.5443,25.345,10.251,17.119
T8-10 - additional_menginges-8,12420,6212,True,False,False,False,1,1761.0104,25.462,10.462,16.383
T8-10 - additional_menginges-9,12420,6212,True,False,False,False,1,1761.526,25.344,10.694,16.872
T8-10 - connection-6,8000,4002,True,False,False,False,1,281.7005,48.42,44.72,15.801
T8-10 - connection-7,8000,4002,True,False,False,False,1,281.9857,45.833,44.957,21.973
T8-10 - connection-8,8000,4002,True,False,False,False,1,281.9779,47.271,43.947,21.134
T8-10 - connection-9,8000,4002,True,False,False,False,1,281.9134,47.801,43.907,19.927
T8-10 - connection_R-1,6408,3207,False,False,False,False,1,,20.927,42.115,12.811
T8-10 - connection_R-2,6408,3207,False,False,False,False,1,,20.927,42.115,12.811
T8-10 - connection_R-3,6408,3206,True,False,False,False,1,189.3698,20.927,42.115,12.811
T8-10 - connection_R-4,6408,3208,False,False,False,False,1,,20.927,42.115,12.811
T8-10 - neuro_0A_blood_bri_a-1,16944,8479,False,False,False,False,3,,18.81,11.885,6.678
T8-10 - neuro_0A_blood_bri_a-2,16944,8482,False,False,False,False,3,,18.808,12.482,3.634
T8-10 - neuro_0A_blood_bri_a-3,16944,8480,False,False,False,False,3,,18.808,12.834,3.352
T8-10 - neuro_0A_blood_bri_a-4,16944,8479,False,False,False,False,3,,18.808,12.745,3.11
T8-10 - neuro_CSF-1,4276,2138,True,False,False,False,1,8835.6455,15.751,27.619,104.604
T8-10 - neuro_EpiduralSpace-1,3512,1756,True,False,False,False,1,11295.333,22.242,32.691,105.506
T8-10 - neuro_GreyMater-1,8354,4179,True,False,False,False,1,996.1198,6.63,21.037,103.445
T8-10 - neuro_Meninges-1,3560,1780,True,False,False,False,1,2150.7239,16.75,28.59,104.761
T8-10 - neuro_blood_in_fat-1,16382,8205,True,False,False,False,7,166.3203,18.783,29.824,104.923
T8-10 - neuro_blood_next_to_WM-1,14196,7110,True,False,False,False,6,142.1094,6.714,23.408,103.873
T8-10 - neuro_sympathetic_a-1,2696,1350,True,False,False,False,1,46.8073,2.412,4.452,29.024
T8-10 - neuro_sympathetic_a-2,2696,1350,True,False,False,False,1,46.7344,2.412,7.357,28.587
T8-10 - neuro_sympathetic_a-3,2696,1350,True,False,False,False,1,46.8151,2.975,8.787,28.213
T8-10 - neuro_sympathetic_a-4,2696,1350,True,False,False,False,1,46.6654,2.905,9.947,27.965
T8-10 - neuro_sympathetic_a-5,2696,1350,True,False,False,False,1,46.4062,2.412,10.195,27.863
T8-10 - neuro_sympathetic_a-6,2696,1350,True,False,False,False,1,46.6302,2.412,7.357,28.587
T8-10 - neuro_sympathetic_a-7,2696,1350,True,False,False,False,1,46.6198,2.412,5.912,28.84
T8-10 - neuro_sympathetic_a-8,2696,1350,True,False,False,False,1,47.0417,3.579,4.443,28.998
T8-10 - neuro_sympathetic_ball-1,3774,1889,True,False,False,False,1,144.7865,4.38,4.571,15.897
T8-10 - neuro_sympathetic_ball-2,3774,1889,True,False,False,False,1,145.0312,4.38,5.701,15.44
T8-10 - neuro_sympathetic_ball-3,3774,1889,True,False,False,False,1,145.1771,4.311,6.313,15.224
